,doc_id,street,hotel_url,zip,long,lat
usa_new york city_kitano_new_york,kitano new york,new york city,66 park avenue,10016,-73.97993319999999,40.7496114
usa_new york city_hilton_garden_inn_chelsea,hilton garden inn chelsea,new york city,121 west 28th street,10001,-73.9914265,40.7466303
usa_new york city_comfort_inn_midtown,comfort inn midtown,new york city,129 west 46th street,10036,-73.9834439,40.7581165
usa_new york city_trump_international_hotel_and_tower,trump international hotel and tower,new york city,1 central park west,10023,-73.98162549999999,40.7690255
usa_new york city_hotel_chandler,hotel chandler,new york city,12 east 31st street,10016,-73.98519069999999,40.7460158
usa_new york city_the_st_regis_hotel_new_york,the st regis hotel new york,new york city,two east 55th street  at fifth avenue,10022,-73.9743494,40.7613024
usa_new york city_smyth_hotel_a_thompson_hotel,smyth hotel a thompson hotel,new york city,85 west broadway,10007,-74.009131,40.71522059999999
usa_new york city_the_bowery_hotel,the bowery hotel,new york city,335 bowery,10003,-73.991629,40.726017
usa_new york city_the_blakely_new_york,the blakely new york,new york city,136 west 55th street,10019,-73.97977,40.7634998
usa_new york city_mandarin_oriental_new_york,mandarin oriental new york,new york city,80 columbus circle at 60th st,10023,-73.98301719999999,40.7689873
usa_new york city_doubletree_guest_suites_times_square,doubletree guest suites times square,new york city,1568 broadway,10036,-73.9844183,40.7589085
usa_new york city_san_carlos_hotel,san carlos hotel,new york city,150 east 50th street,10022,-73.9715702,40.75590529999999
usa_new york city_affinia_50,affinia 50,new york city,155 east 50th street,10022,-73.9710793,40.7560859
usa_new york city_blue_moon_hotel,blue moon hotel,new york city,100 orchard st,10002,-73.9897804,40.7186077
usa_new york city_the_muse_hotel_new_york_a_kimpton_hotel,the muse hotel new york a kimpton hotel,new york city,130 west 46th street,10036,-73.9837592,40.7578857
usa_new york city_hampton_inn_madison_square_garden,hampton inn madison square garden,new york city,116 west 31st street,10001,-73.9902323,40.7480677
usa_new york city_the_iroquois,the iroquois,new york city,49 w 44th st,10036,-73.981963,40.7558763
usa_new york city_best_western_bowery_hanbee_hotel,best western bowery hanbee hotel,new york city,231 grand street,10013,-73.9951754,40.718418
usa_new york city_morgans_hotel,morgans hotel,new york city,237 madison ave,10016,-73.981214,40.7498315
usa_new york city_embassy_suites_hotel_new_york_city,embassy suites hotel new york city,new york city,102 north end avenue,10281,-74.0155621,40.7150499
usa_new york city_hotel_beacon,hotel beacon,new york city,2130 broadway at 75th street,10023,-73.98103569999999,40.7806869
usa_new york city_the_marmara_manhattan_luxury_hotel_residence,the marmara manhattan luxury hotel residence,new york city,301 east 94th street,10128,-73.9475432,40.7829968
usa_new york city_the_london_nyc,the london nyc,new york city,151 west 54th street,10019,-73.9805361,40.76343809999999
usa_new york city_salisbury_hotel,salisbury hotel,new york city,123 west 57th street,10019,-73.9783656,40.7651285
usa_new york city_peninsula_new_york,peninsula new york,new york city,700 fifth avenue at 55th street,10019,-73.97546559999999,40.7616221
usa_new york city_best_western_hospitality_house,best western hospitality house,new york city,145 east 49th street,10017,-73.9720294,40.7558161
usa_new york city_gild_hall,gild hall,new york city,15 gold street  entrance on platt,10038,-74.0072143,40.7079177
usa_new york city_renaissance_new_york_hotel_times_square,renaissance new york hotel times square,new york city,two times square,10036,-73.9846788,40.7596193
usa_new york city_the_hotel_at_times_square,the hotel at times square,new york city,59 west 46th street,10036,-73.9811493,40.7572513
usa_new york city_ritz_carlton_battery_park,ritz carlton battery park,new york city,2 west street,10004,-74.017457,40.7056483
usa_new york city_new_york_marriott_marquis,new york marriott marquis,new york city,1535 broadway,10036,-73.98622,40.7587252
usa_new york city_hotel_41_at_times_square,hotel 41 at times square,new york city,206 w 41st st,10036,-73.9880802,40.7554194
usa_new york city_hampton_inn_manhattan_soho,hampton inn manhattan soho,new york city,54 watts street,10013,-74.00525139999999,40.7238822
usa_new york city_hotel_mela,hotel mela,new york city,120 west 44th street,10036,-73.9843398,40.7564107
usa_new york city_chelsea_lodge,chelsea lodge,new york city,318 west 20th street,10011,-74.00090879999999,40.7437309
usa_new york city_hampton_inn_35th_st_empire_state_building,hampton inn 35th st empire state building,new york city,59 west 35th street,10001,-73.98639109999999,40.7502872
usa_new york city_room_mate_grace,room mate grace,new york city,125 west 45 street,10036,-73.9837873,40.757412
usa_new york city_courtyard_by_marriott_new_york_manhattan_times_square_south,courtyard by marriott new york manhattan times square south,new york city,114 west 40th street,10018,-73.9888524,40.7540935
usa_new york city_the_pod_hotel,the pod hotel,new york city,230 e 51st st,10022,-73.9691596,40.7556979
usa_new york city_warwick_new_york_hotel,warwick new york hotel,new york city,65 west 54th street,10019,-73.9782725,40.7624022
usa_new york city_the_new_york_helmsley,the new york helmsley,new york city,212 e 42nd st,10017,-73.9738897,40.7503508
usa_new york city_affinia_shelburne,affinia shelburne,new york city,303 lexington avenue,10016,-73.9780391,40.7484439
usa_new york city_fitzpatrick_grand_central_hotel,fitzpatrick grand central hotel,new york city,141 east 44th street,10017,-73.9744492,40.7527018
usa_new york city_the_kimberly_hotel,the kimberly hotel,new york city,145 east 50th street,10022,-73.9713636,40.7563583
usa_new york city_millenium_hilton,millenium hilton,new york city,55 church street,10007,-74.0103428,40.7111607
usa_new york city_four_points_by_sheraton_manhattan_soho_village,four points by sheraton manhattan soho village,new york city,66 charlton street,10014,-74.0061188,40.7269332
usa_new york city_the_belvedere,the belvedere,new york city,319 west 48th street,10036,-73.9881946,40.7617463
usa_new york city_wingate_by_wyndham_manhattan_midtown,wingate by wyndham manhattan midtown,new york city,235 west 35th street,10001,-73.9912944,40.7523623
usa_new york city_the_new_yorker_hotel,the new yorker hotel,new york city,481 eighth ave,10001,-73.9935648,40.7526686
usa_new york city_hampton_inn_manhattan_chelsea,hampton inn manhattan chelsea,new york city,108 west 24th street,10011,-73.9930395,40.7436548
usa_new york city_hotel_metro,hotel metro,new york city,45 w 35th st,10001,-73.9859914,40.750143
usa_new york city_hampton_inn_new_york_seaport_financial_district,hampton inn new york seaport financial district,new york city,320 pearl st.,10038,-74.002033,40.7088975
usa_new york city_hilton_times_square,hilton times square,new york city,234 west 42nd street,10036,-73.9888338,40.7564269
usa_new york city_affinia_manhattan,affinia manhattan,new york city,371 seventh ave,10001,-73.9919808,40.748809
usa_new york city_eastgate_tower,eastgate tower,new york city,222 east 39th street,10016,-73.9749707,40.7481306
usa_new york city_hotel_newton,hotel newton,new york city,2528 broadway,10025,-73.9719843,40.7934623
usa_new york city_the_benjamin,the benjamin,new york city,125 east 50th street,10022,-73.9719605,40.7566361
usa_new york city_rockefeller_center_hotel,rockefeller center hotel,new york city,25 west 51st st.,10019,-73.97821360000002,40.7600348
usa_new york city_royalton_hotel_new_york_city,royalton hotel new york city,new york city,44 west 44th street,10036,-73.98982560000002,40.7589526
usa_new york city_jumeirah_essex_house,jumeirah essex house,new york city,160 central park south,10019,-73.97864919999999,40.7660208
usa_new york city_four_seasons_hotel_new_york,four seasons hotel new york,new york city,57 east 57th street,10022,-73.9711654,40.7625587
usa_new york city_omni_berkshire_place,omni berkshire place,new york city,21 e 52nd st,10022,-73.97490979999999,40.7593943
usa_new york city_ink48_a_kimpton_hotel,ink48 a kimpton hotel,new york city,653 11th avenue at 48th,10036,-73.99595,40.7645758
usa_new york city_courtyard_by_marriott_new_york_manhattan_upper_east_side,courtyard by marriott new york manhattan upper east side,new york city,410 east 92nd street,10128,-73.94602809999999,40.7801646
usa_new york city_fairfield_inn_new_york_manhattan_times_square_south,fairfield inn new york manhattan times square south,new york city,330 west 40th street,10018,-73.99250669999999,40.7564849
usa_new york city_the_sherry_netherland_hotel,the sherry netherland hotel,new york city,781 fifth avenue,10022,-73.9725177,40.7643205
usa_new york city_millennium_un_plaza_hotel,millennium un plaza hotel,new york city,one united nations plaza,10017,-73.9690285,40.7504578
usa_new york city_new_york_marriott_downtown,new york marriott downtown,new york city,85 west street,10006,-74.01467149999999,40.7095039
usa_new york city_the_westin_new_york_at_times_square,the westin new york at times square,new york city,270 west 43rd street,10036,-73.9891035,40.7576919
usa_new york city_fitzpatrick_manhattan,fitzpatrick manhattan,new york city,687 lexington avenue,10022,-73.9691888,40.7605114
usa_new york city_roger_williams_hotel,roger williams hotel,new york city,131 madison avenue,10016,-73.984192,40.7456489
usa_new york city_lowell_hotel,lowell hotel,new york city,28 east 63rd street,10021,-73.96921449999999,40.7657037
usa_new york city_the_plaza,the plaza,new york city,5th ave at 59th street,10019,-73.9730051,40.7643054
usa_new york city_hotel_373,hotel 373,new york city,373 fifth avenue,10001,-73.9836723,40.7490789
usa_new york city_crowne_plaza_times_square_manhattan,crowne plaza times square manhattan,new york city,1605 broadway,10019,-73.9852539,40.7606292
usa_new york city_the_alex_hotel,the alex hotel,new york city,205 east 45th street,10017,-73.97243499999999,40.752646
usa_new york city_wall_street_inn,wall street inn,new york city,9 south william street,10004,-74.010272,40.7046231
usa_new york city_w_new_york_times_square,w new york times square,new york city,1567 broadway at 47th st,10036,-73.9856617,40.7594131
usa_new york city_club_quarters_rockefeller_center,club quarters rockefeller center,new york city,25 west 51st street,10019,-73.97821360000002,40.7600348
usa_new york city_414_hotel,414 hotel,new york city,414 w 46th st,10036,-73.99175579999999,40.7612666
usa_new york city_hotel_17,hotel 17,new york city,225 east 17th street,10003,-73.9845181,40.7349703
usa_new york city_the_herald_square_hotel,the herald square hotel,new york city,19 west 31st street,10001,-73.9870502,40.7470957
usa_new york city_the_surrey,the surrey,new york city,20 e. 76th street,10021,-73.9640958,40.7744937
usa_new york city_novotel_new_york_times_square,novotel new york times square,new york city,226 w. 52nd st.,10019,-73.983704,40.76268
usa_new york city_park_south_hotel,park south hotel,new york city,122 east 28th street,10016,-73.9831232,40.7428157
usa_new york city_the_franklin,the franklin,new york city,164 e 87th st,10128,-73.9545117,40.7797357
usa_new york city_millennium_hotel_broadway,millennium hotel broadway,new york city,145 w 44th street,10036,-73.9847514,40.7570526
usa_new york city_greenwich_hotel,greenwich hotel,new york city,377 greenwich st.,10013,-74.009868,40.7198573
usa_new york city_hilton_garden_inn_tribeca,hilton garden inn tribeca,new york city,6 york st,10013,-76.568191,42.947892
usa_new york city_the_waldorf_astoria,the waldorf astoria,new york city,301 park avenue,10022,-73.9738492,40.7567485
usa_new york city_red_roof_inn_manhattan,red roof inn manhattan,new york city,6 west 32nd street,10001,-73.986385,40.7472247
usa_new york city_70_park_avenue_hotel_a_kimpton_hotel,70 park avenue hotel a kimpton hotel,new york city,70 park avenue,10016,-73.9797524,40.7498316
usa_new york city_holiday_inn_nyc_manhattan_6th_avenue,holiday inn nyc manhattan 6th avenue,new york city,125 west 26th street,10001,-73.9923075,40.74540349999999
usa_new york city_tribeca_grand_hotel,tribeca grand hotel,new york city,2 avenue of the americas,10013,-74.0049093,40.7194085
usa_new york city_holiday_inn_express_nyc_madison_square_garden,holiday inn express nyc madison square garden,new york city,232 west 29th street,10001,-73.9946,40.7483545
usa_new york city_ace_hotel_nyc,ace hotel nyc,new york city,20 west 29th street,10001,-73.9882603,40.7457432
usa_new york city_the_carlton,the carlton,new york city,88 madison avenue,10016,-73.9857838,40.7444392
usa_new york city_the_gem_hotel_soho,the gem hotel soho,new york city,135 east houston street,10002,-73.9902341,40.72313620000001
usa_new york city_comfort_inn_midtown_manhattan,comfort inn midtown manhattan,new york city,343 44th street,10036,-74.0098713,40.65065389999999
usa_new york city_broadway_plaza_hotel,broadway plaza hotel,new york city,1155 broadway,10001,-73.9892011,40.7444366
usa_new york city_on_the_ave_hotel,on the ave hotel,new york city,2178 broadway,10024,-73.9805895,40.7822187
usa_new york city_roger_smith_hotel,roger smith hotel,new york city,501 lexington avenue,10017,-73.9734172,40.754689
usa_new york city_washington_square_hotel,washington square hotel,new york city,103 waverly place,10011,-73.9987489,40.7325015
usa_new york city_hotel_reserve,hotel reserve,new york city,51 nassau street,10038,-74.0091838,40.7089752
usa_new york city_club_quarters_downtown,club quarters downtown,new york city,52 william street,10005,-74.0089239,40.706708
usa_new york city_waldorf_towers,waldorf towers,new york city,100 east 50th street,10022,-73.9734072,40.7568019
usa_new york city_algonquin_hotel,algonquin hotel,new york city,59 w 44th st,10036,-73.9822798,40.756008
usa_new york city_west_57th_street_by_hilton_club,west 57th street by hilton club,new york city,102 west 57th street,10019,-73.9779065,40.7643688
usa_new york city_chambers_hotel,chambers hotel,new york city,15 w 56th st,10019,-73.9753905,40.7628579
usa_new york city_ramada_eastside,ramada eastside,new york city,161 lexington avenue,10016,-73.9811964,40.743903
usa_new york city_hotel_31,hotel 31,new york city,120 east 31 street,10016,-73.98182899999999,40.744544
usa_new york city_holiday_inn_express_new_york_city_fifth_ave,holiday inn express new york city fifth ave,new york city,15 west 45th street,10036,-73.98018619999999,40.7559581
usa_new york city_the_marcel_at_gramercy,the marcel at gramercy,new york city,201 east 24th street,10011,-73.9822509,40.7395368
usa_new york city_the_standard_new_york,the standard new york,new york city,848 washington street,10014,-74.008111,40.7409232
usa_new york city_the_mark,the mark,new york city,25 east 77th street,10021,-73.9633994,40.7752711
usa_new york city_cosmopolitan_hotel_tribeca,cosmopolitan hotel tribeca,new york city,95 west broadway,10007,-74.008909,40.715475
usa_new york city_belleclaire_hotel,belleclaire hotel,new york city,250 west 77th street,10024,-73.98133349999999,40.7824708
usa_new york city_hotel_east_houston,hotel east houston,new york city,151 east houston street,10002,-73.98939179999999,40.7228796
usa_new york city_the_mave,the mave,new york city,62 madison ave,10016,-73.98625729999999,40.7435653
usa_new york city_the_helmsley_park_lane,the helmsley park lane,new york city,36 central park south,10019,-73.9753353,40.764621
usa_new york city_thompson_les,thompson les,new york city,190 allen street,10002,-73.9885583,40.7221068
usa_new york city_clarion_collection_the_solita_soho_hotel,clarion collection the solita soho hotel,new york city,159 grand street,10013,-73.9989456,40.7198053
usa_new york city_the_milburn_hotel,the milburn hotel,new york city,242 west 76th street,10023,-73.98190989999999,40.7819052
usa_new york city_hotel_stanford,hotel stanford,new york city,43 west 32nd street,10001,-73.9874565,40.7482035
usa_new york city_soho_house_new_york,soho house new york,new york city,29-35 9th avenue,10014,-74.0058785,40.7406093
usa_new york city_the_pierre,the pierre,new york city,fifth avenue at 61st street,10021,-73.97210059999999,40.7655163
usa_new york city_vincci_avalon,vincci avalon,new york city,16 east 32nd street,10016,-73.98461449999999,40.7465706
usa_new york city_the_carlyle_a_rosewood_hotel,the carlyle a rosewood hotel,new york city,35 east 76th street,10021,-73.96315589999999,40.774416
usa_new york city_6_columbus,6 columbus,new york city,6 columbus circle,10019,-73.98318859999999,40.7675055
usa_new york city_the_maritime_hotel,the maritime hotel,new york city,363 west 16th street,10011,-74.00398249999999,40.7424404
usa_new york city_bentley_hotel,bentley hotel,new york city,500 east 62nd street,10021,-73.9582372,40.7601319
usa_new york city_the_sylvan_guest_house,the sylvan guest house,new york city,12 sylvan terrace,10032,-73.939392,40.83465380000001
usa_new york city_hilton_club_new_york,hilton club new york,new york city,1335 avenue of the americas,10019,-73.9797938,40.7622874
usa_new york city_hampton_inn_manhattan_times_square_south,hampton inn manhattan times square south,new york city,337 west 39th street,10018,-73.9928625,40.7562363
usa_new york city_comfort_inn_manhattan_bridge,comfort inn manhattan bridge,new york city,61-63 chrystie street,10013,-73.9949401,40.7166844
usa_new york city_new_york_marriott_east_side,new york marriott east side,new york city,525 lexington avenue,10017,-73.9726263,40.7553992
usa_new york city_w_new_york_the_tuscany,w new york the tuscany,new york city,120 east 39th street,10016,-73.97825499999999,40.7496236
usa_new york city_grand_hyatt_new_york,grand hyatt new york,new york city,109 east 42nd street,10017,-73.9762995,40.7520617
usa_new york city_night_hotel,night hotel,new york city,132 west 45th street,10036,-73.98443069999999,40.7571954
usa_new york city_buckingham_hotel,buckingham hotel,new york city,101 w 57th st at 6th ave,10019,-73.977381,40.7647191
usa_new york city_excelsior_hotel,excelsior hotel,new york city,45 west 81st street,10024,-73.97370529999999,40.7831585
usa_new york city_60_thompson,60 thompson,new york city,60 thompson street,10012,-74.00314039999999,40.7239689
usa_new york city_the_gem_hotel_chelsea,the gem hotel chelsea,new york city,300 w 22nd st,10011,-73.9994754,40.7446826
usa_new york city_lafayette_house,lafayette house,new york city,38 east 4th street,10003,-73.9921624,40.727194
usa_new york city_hotel_grand_union,hotel grand union,new york city,34 east 32nd street,10016,-73.9833113,40.7460146
usa_new york city_seafarers_international_house,seafarers international house,new york city,123 e. 15th st.,10003,-73.9879977,40.73469679999999
usa_new york city_le_parker_meridien,le parker meridien,new york city,118 west 57th street,10019,-73.9783542,40.7644999
usa_new york city_hilton_new_york,hilton new york,new york city,1335 avenue of the americas,10019,-73.9797938,40.7622874
usa_new york city_cooper_square_hotel,cooper square hotel,new york city,25 cooper square,10003,-73.991357,40.7274269
usa_new york city_skyline_hotel,skyline hotel,new york city,725 10th avenue,10019,-73.99223309999999,40.7643897
usa_new york city_renaissance_new_york_hotel_57,renaissance new york hotel 57,new york city,130 e 57th st,10022,-73.9694201,40.7608049
usa_new york city_radisson_martinique_on_broadway,radisson martinique on broadway,new york city,49 west 32nd street,10001,-73.9878566,40.7482659
usa_new york city_bedford_hotel,bedford hotel,new york city,118 east 40th street,10016,-73.9775392,40.7501922
usa_new york city_travel_inn_hotel_new_york,travel inn hotel new york,new york city,515 w 42nd st,10036,-73.99600130000002,40.7603037
usa_new york city_the_roosevelt_hotel,the roosevelt hotel,new york city,madison ave at 45th st,10017,-73.977892,40.7547401
usa_new york city_murray_hill_east_suites,murray hill east suites,new york city,149 east 39th street,10016,-73.9764277,40.7492552
usa_new york city_stay,stay,new york city,157 west 47 street,10036,-73.98376669999999,40.7591257
usa_new york city_gramercy_park_hotel,gramercy park hotel,new york city,2 lexington avenue,10010,-73.9857347,40.73863679999999
usa_new york city_intercontinental_the_barclay_new_york,intercontinental the barclay new york,new york city,111 east 48th street,10017,-73.9735276,40.7556629
usa_new york city_the_shoreham,the shoreham,new york city,33 west 55th street,10019,-73.9763748,40.7625147
usa_new york city_hotel_indigo_new_york_city_chelsea,hotel indigo new york city chelsea,new york city,127 west 28th street,10001,-73.9917767,40.7467373
usa_new york city_hotel_on_rivington,hotel on rivington,new york city,107 rivington st,10002,-73.98809299999999,40.719762
usa_new york city_tudor_hotel_at_the_united_nations,tudor hotel at the united nations,new york city,304 e 42nd st,10017,-73.9719652,40.7494266
usa_new york city_washington_jefferson_hotel,washington jefferson hotel,new york city,318 west 51st street,10019,-73.98697709999999,40.7632494
usa_new york city_plaza_athenee_hotel,plaza athenee hotel,new york city,37 e 64th st at madison ave,10021,-73.9683379,40.7665988
usa_new york city_comfort_inn_times_square,comfort inn times square,new york city,305 w 39th st,10018,-97.7352624,30.3027028
usa_new york city_beekman_tower_hotel,beekman tower hotel,new york city,3 mitchell place,10017,-73.9661558,40.7533687
usa_new york city_holiday_inn_express_new_york_city_times_square,holiday inn express new york city times square,new york city,343 west 39th street,10018,-73.9930462,40.7563588
usa_new york city_comfort_inn_chelsea,comfort inn chelsea,new york city,18 west 25th street,10010,-73.99011,40.743278
usa_new york city_phillips_club,phillips club,new york city,155 west 66th street,10023,-73.9829925,40.774298
usa_new york city_hotel_deauville,hotel deauville,new york city,103 east 29th street,10016,-73.9830551,40.7438768
usa_new york city_sheraton_new_york_hotel_towers,sheraton new york hotel towers,new york city,811 7th avenue on 53rd street,10019,-73.981264,40.7624962
usa_new york city_wolcott_hotel,wolcott hotel,new york city,4 west 31st street,10001,-73.98665849999999,40.7467333
usa_new york city_courtyard_new_york_manhattan_fifth_avenue,courtyard new york manhattan fifth avenue,new york city,3 east 40th street,10016,-73.98166499999999,40.7519024
usa_new york city_four_points_by_sheraton_midtown_times_square,four points by sheraton midtown times square,new york city,326 west 40th street,10018,-73.992346,40.7564042
usa_new york city_park_central,park central,new york city,870 seventh avenue at 56th street,10019,-73.9812207,40.7646895
usa_new york city_the_mansfield,the mansfield,new york city,12 west 44th street,10036,-73.9810571,40.7550775
usa_new york city_loews_regency_hotel,loews regency hotel,new york city,540 park ave,10021,-73.9690071,40.7645744
usa_new york city_off_soho_suites,off soho suites,new york city,11 rivington street,10002,-73.9927321,40.7212029
usa_new york city_the_premier,the premier,new york city,133 w 44th st,10036,-73.9843619,40.7569347
usa_new york city_the_hotel_91,the hotel 91,new york city,91 e broadway,10002,-73.9936337,40.7136093
usa_new york city_hotel_st_james,hotel st james,new york city,109 west 45th street,10036,-73.9832593,40.7572406
usa_new york city_park_79_hotel,park 79 hotel,new york city,117 west 79th street,10024,-73.9759551,40.7824367
usa_new york city_the_lombardy,the lombardy,new york city,111 east 56th street,10022,-73.97053149999999,40.7607674
usa_new york city_the_inn_at_irving_place,the inn at irving place,new york city,56 irving place,10003,-73.9870191,40.7359319
usa_new york city_the_time,the time,new york city,224 west 49th street,10019,-73.9855103,40.7609782
usa_new york city_3_west_club,3 west club,new york city,3 west 51st st,10019,-73.97732049999999,40.7596587
usa_new york city_the_grant_hotel,the grant hotel,new york city,306 w 94th st,10025,-73.9748991,40.7940506
usa_new york city_hotel_gansevoort,hotel gansevoort,new york city,18 9th avenue,10014,-74.00573349999999,40.7398532
usa_new york city_americana_inn,americana inn,new york city,69 west 38th street,10018,-73.9855489,40.7522927
usa_new york city_w_new_york_union_square,w new york union square,new york city,201 park avenue south,10003,-73.9885406,40.7366094
usa_new york city_doubletree_hotel_chelsea_new_york_city,doubletree hotel chelsea new york city,new york city,128 west 29th street,10001,-73.99138649999999,40.74701
usa_new york city_chelsea_savoy_hotel,chelsea savoy hotel,new york city,204 west 23rd street,10011,-73.9960924,40.7439532
usa_new york city_da_vinci_hotel,da vinci hotel,new york city,244 west 56th street,10019,-73.9830259,40.7656166
usa_new york city_best_western_seaport_inn_downtown,best western seaport inn downtown,new york city,33 peck slip,10038,-74.0014377,40.7080576
usa_new york city_doubletree_metropolitan_hotel,doubletree metropolitan hotel,new york city,569 lexington avenue at east 51st street,10022,-73.9718646,40.7569165
usa_new york city_soho_grand_hotel,soho grand hotel,new york city,310 west broadway,10013,-74.0046268,40.7221457
usa_new york city_four_points_by_sheraton_manhattan_chelsea,four points by sheraton manhattan chelsea,new york city,160 west 25th st.,10011,-73.9942337,40.7449824
usa_new york city_club_quarters_midtown,club quarters midtown,new york city,40 west 45th street,10036,-73.9813271,40.755921
usa_new york city_hotel_99,hotel 99,new york city,244 west 99th street,10025,-73.97090949999999,40.7966299
usa_new york city_duane_street_hotel,duane street hotel,new york city,130 duane street,10013,-74.0074501,40.7158452
usa_new york city_w_new_york_the_court,w new york the court,new york city,130 east 39th street,10016,-73.9777704,40.7494703
usa_new york city_dream,dream,new york city,210 west 55th street,10019,-73.9819469,40.76440230000001
usa_new york city_econo_lodge_times_square,econo lodge times square,new york city,302 west 47th street,10036,-73.98784669999999,40.7604354
usa_new york city_the_manhattan_club,the manhattan club,new york city,200 west 56th street,10019,-73.9811854,40.7648734
usa_new york city_comfort_inn_manhattan,comfort inn manhattan,new york city,42 west 35th street,10001,-73.98603899999999,40.749779
usa_new york city_wellington_hotel,wellington hotel,new york city,871 7th ave at w 55th st,10019,-73.9805464,40.76448449999999
usa_new york city_flatotel,flatotel,new york city,135 west 52nd street,10019,-73.98093539999999,40.76200040000001
usa_new york city_moderne_hotel,moderne hotel,new york city,243 west 55th street,10019,-73.9829544,40.7651625
usa_new york city_murray_hill_inn,murray hill inn,new york city,143 east 30th street,10016,-73.9806569,40.7437203
usa_new york city_thirty_thirty_hotel,thirty thirty hotel,new york city,30 east 30th street,10016,-80.2674275,25.8498101
usa_new york city_best_western_convention_center_hotel,best western convention center hotel,new york city,522 west 38th street,10018,-73.998597,40.7574645
usa_new york city_holiday_inn_midtown_57th_st,holiday inn midtown 57th st,new york city,440 west 57th street,10019,-73.9874565,40.7684256
usa_new york city_comfort_inn_midtown_west_convention_center,comfort inn midtown west convention center,new york city,442 w 36th st,10018,-73.9973543,40.7552691
usa_new york city_helmsley_middletowne_hotel,helmsley middletowne hotel,new york city,148 e. 48th st.,10017,-73.9726853,40.7548
usa_new york city_marriott_financial_center,marriott financial center,new york city,85 west street,10006,-74.01467149999999,40.7095039
usa_new york city_the_gem_hotel_midtown_west,the gem hotel midtown west,new york city,449 w. 36th street,10018,-73.99754089999999,40.7557937
usa_new york city_city_club_hotel,city club hotel,new york city,55 west 44th street,10036,-73.98210759999999,40.7559546
usa_new york city_candlewood_suites_new_york_city_times_square,candlewood suites new york city times square,new york city,339 w. 39th street,10018,-73.99297729999999,40.7562912
usa_new york city_envoy_club,envoy club,new york city,377 east 33rd street,10016,-73.9743289,40.7434085
usa_new york city_aka_united_nations,aka united nations,new york city,234 east 46th street,10017,-73.97137889999999,40.7526117
usa_new york city_milford_plaza_hotel,milford plaza hotel,new york city,700 8th avenue,10036,-73.9882837,40.7587094
usa_new york city_holiday_inn_manhattan_downtown_soho,holiday inn manhattan downtown soho,new york city,138 lafayette street,10013,-74.00018589999999,40.7191075
usa_new york city_la_quinta_manhattan,la quinta manhattan,new york city,17 west 32nd st.,10001,-73.9865153,40.747819
usa_new york city_empire_hotel,empire hotel,new york city,44 west 63rd street,10023,-73.9824692,40.771346
usa_new york city_carvi_hotel_new_york,carvi hotel new york,new york city,155 east 55th street,10022,-73.9690724,40.7594346
usa_new york city_carlton_arms,carlton arms,new york city,160 east 25th street,10010,-73.98288769999999,40.740058
